
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"Left superior pulmonary vein;Vena pulmonalis sinistra superior;Veine pulmonaire supérieure gauche;Vena pulmonar superior izquierda;Veia pulmonar superior esquerda;Vena polmonare superiore sinistra;4119"
"Apicoposterior vein of left lung;Vena apicoposterior pulmonis sinistri;Veine apicopostérieure du poumon gauche;Vena apicoposterior del pulmón izquierdo;Veia apicoposterior do pulmão esquerdo;Vena posteriore apicale del polmone sinistro;4120"
"Anterior vein of left lung;Vena anterior pulmonis sinistri;Veine antérieure du poumon gauche;Vena anterior del pulmón izquierdo;Veia anterior do pulmão esquerdo;Vena anteriore del polmone sinistro;4121"
"Lingular vein of left lung;Vena lingularis pulmonis sinistri;Veine lingulaire du poumon gauche;Vena lingular del pulmón izquierdo;Veia lingular do pulmão esquerdo;Vena lingulare del polmone sinistro;4122"
"Superior lingular vein of left lung;Vena lingularis superior pulmonis sinistri;Veine lingulaire supérieure du poumon gauche;Vena lingular superior del pulmón izquierdo;Veia lingular superior do pulmão esquerdo;Vena lingulare superiore del polmone sinistro;4123"
"Inferior lingular vein of left lung;Vena lingularis inferior pulmonis sinistri;Veine lingulaire inférieure du poumon gauche;Vena lingular inferior del pulmón izquierdo;Veia lingular inferior do pulmão esquerdo;Vena lingulare inferiore del polmone sinistro;4124"
"Left inferior pulmonary vein;Vena pulmonalis sinistra inferior;Veine pulmonaire inférieure gauche;Vena pulmonar inferior izquierda;Veia pulmonar inferior esquerda;Vena polmonare inferiore sinistra;4125"
"Superior vein of left lung;Vena superior pulmonis sinistri;Veine supérieure du poumon gauche;Vena superior del pulmón izquierdo;Veia superior do pulmão esquerdo;Vena superiore del polmone sinistro;4126"
"Superior basal vein of left lung;Vena basalis superior pulmonis sinistri;Veine basale supérieure du poumon gauche;Vena basal superior del pulmón izquierdo;Veia basal superior do pulmão esquerdo;Vena basale superiore del polmone sinistro;4127"
"Inferior basal vein of left lung;Vena basalis inferior pulmonis sinistri;Veine basale inférieure du poumon gauche;Vena basal inferior del pulmón izquierdo;Veia basal inferior do pulmão esquerdo;Vena basale inferiore del polmone sinistro;4128"
"Cardiac vessels;Vasa cardiaca;Vaisseaux cardiaques;Vasos cardiacos;Vasos cardíacos;Vasi cardiaci;4129"
"Arteries of heart;Arteriae cardiacae;Artères coronaires;Arterias del corazon;Artérias do coração;Arterie del cuore;4130"
"Right coronary artery;Arteria coronaria dextra;Artère coronaire droite;Arteria coronaria derecha;Artéria coronária direita;Arteria coronaria destra;4131"
"Conal branch of right coronary artery;Ramus coni arteriosi arteriae coronariae dextrae;Branche cônale de l'artère coronaire droite;Rama del cono arterioso de la arteria coronaria derecha;Ramo conal da artéria coronária direita;Ramo del cono dell'arteria coronaria destra;4132"
"Sinu-atrial nodal branch of right coronary artery;Ramus nodi sinuatrialis arteriae coronariae dextrae;Branche sinu-atriale nodale de l'artère coronaire droite;Rama del nodo sinoatrial de la arteria coronaria derecha;Ramo nodal sinu-atrial da artéria coronária direita;Ramo del nodo seno-atriale dell'arteria coronaria destra;4133"
"Atrial branches of right coronary artery;Rami atriales arteriae coronariae dextrae;Branches atriales de l'artère coronaire droite;Ramas atriales de la arteria coronaria derecha;Ramos atriais da artéria coronária direita;Rami atriali dell'arteria coronaria destra;4134"
"Intermediate atrial branch of right coronary artery;Ramus atrialis intermedius arteriae coronariae dextrae;Branche atriale intermédiaire de l'artère coronaire droite;Rama atrial intermedia de la arteria coronaria derecha;Ramo atrial intermediário da artéria coronária direita;Ramo atriale intermedio dell'arteria coronaria destra;4135"
"Anterior ventricular branches of right coronary artery;Rami ventriculares anteriores arteriae coronariae dextrae;Branches ventriculaires ant. de l'artère coronaire droite;Ramas ventriculares anteriores-arteria coronaria derecha;Ramos ventriculares anteriores da artéria coronária direita;Rami ventricolari anteriori dell'arteria coronaria destra;4136"
"Right marginal branch of right coronary artery;Ramus marginalis dexter arteriae coronariae dextrae;Branche maginale droite de l'artère coronaire droite;Rama marginal derecha de la arteria coronaria derecha;Ramo marginal direito da artéria coronária direita;Ramo marginale destro dell'arteria coronaria destra;4137"
"Inferior interventricular artery;Arteria interventricularis inferior;Artère interventriculaire inférieure;Arteria interventricular inferior;Artéria interventricular inferior;Arteria interventricolare inferiore;4138"
"Interventricular branch of right coronary artery;Ramus posterior arteriae coronariae;Branche interventriculaire de l'artère coronaire droite;Rama interventricular de la arteria coronaria derecha;Ramo interventricular da artéria coronária direita;Ramo interventricolare della coronaria destra;"
"Septal branches of inferior interventricular artery;Rami sept. arteriae intervent. Inf. arteriae coronariae dext.;Branches septales de l'artère interventriculaire inférieure;Ramas septales de la arteria interventricular inferior;Ramos septais da artéria interventricular inferior;Rami interventricolari settali;4139"
"Atrioventricular nodal branch of right coronary artery;Ramus nodi atrioventricularis arteriae coronariae dextrae;Branche nodale atrioventriculaire de l'artère coronaire dte.;Rama del nodo atrioventricular-arteria coronaria derecha;Ramo nodal atrioventricular da artéria coronária direita;Ramo del nodo atrioventricolare dell'arteria coronaria destra;4140"
"Right inferolateral branch of right coronary artery;(Ramus inferolateralis dexter arteriae coronariae dextrae);Branche inférolatérale droite de l'artère coronaire droite;Rama inferolateral derecha de la arteria coronaria derecha;Ramo ínferolateral direito da artéria coronária direita;Ramo laterale inferiore destro dell'arteria coronaria destra;4141"
"Left coronary artery;Arteria coronaria sinistra;Artère coronaire gauche;Arteria coronaria izquierda;Artéria coronária esquerda;Arteria coronaria sinistra;4142"
"Anterior interventricular artery;Arteria interventricularis ant. arteriae coronariae sinistrae;Artère interventriculaire antérieure;Arteria interventricular anterior;Artéria interventricular anterior;Ramo interventricolare anteriore;4143"
"Conal branch of anterior interventricular artery;Ramus coni arteriosi art. intervent. ant. coronariae sinis.;Branche cônale de l'artère interventriculaire antérieure;Rama conal de la arteria coronaria izquierda;Ramo conal da artéria interventricular anterior;Ramo del cono arterioso;4144"
"Anterior ventricular branches of anterior interventricular artery;Rami ventriculares anteriores arteriae interventricularis anterioris;Br. ventriculaires ant. de l'a. interventric. ant.;R. ventriculares anteriores de la a. descendente ant.;R. ventriculares anteriores da a. descendente ant.;Rami ventricolari anteriori;4145"
"Diagonal branch of anterior interventricular artery;Ramus diagonalis arteriae ramus lateralis arteriae;Branche diagonale de l'artère interventriculaire antérieure;Rama diagonal de la arteria interventricular anterior;Ramo diagonal da artéria interventricular anterior;Ramo diagonale dell'arteria coronaria sinistra;4146"
"Septal branches of anterior interventricular artery;Rami sept. art. Intervent. ant. sept. arteriae coron. sinis.;Branches septales de l'artère interventriculaire antérieure;Ramas septales de la arteria interventricular anterior;Ramos septais da artéria interventricular anterior;Rami interventricolari settali;4147"
"Circumflex artery of heart;Arteria circumflexa cordis;Artère circonflexe du coeur;Arteria circunfleja del corazón;Artéria circunflexa do coração;Ramo circonflesso dell'arteria coronaria sinistra;4148"
"Atrial branches of circumflex artery of heart;Rami atriales arteriae circumflexae co'dis;Branches atriales de l'artère criconflexe du coeur;Ramas atriales de la arteria circunfleja del corazón;Ramos atriais da artéria circunflexa do coração;Rami atriali dell'arteria circonflessa del cuore;4149"
"Atrial anastomotic branch of circumflex artery of heart;Ramus atrialis anastom. art. circumf. cordis coron. sinis.;Branche atriale anastomotique de l'artère circonf. du coeur;Rama anastomótica atrial de la a. circunf. del corazón;Ramo anastomótico atrial da artéria circunflexa do coração;Ramo anastomotico atriale dell'arteria circonflessa del cuore;4150"
"Intermediate atrial branch of circumflex artery of heart;Ramus atrialis interm. arteriae circumf. cordis coron. sinis.;Branche atriale intermédiaire de l'artère circonf. du coeur;Rama atrial intermedia-arteria circunfleja del corazón;Ramo atrial intermediário da artéria circunflexa do coração;Ramo atriale intermedio dell'arteria circonflessa del cuore;4151"
"Left marginal branch of circumflex artery of heart;Ramus marginalis sinis. art. circumf. cordis coron. sinis.;Branche marginale gauche de l'artère circonflexe du coeur;Rama marginal izquierda de la arteria circunfleja del corazón;Ramo marginal esquerdo da artéria circunflexa do coração;Ramo marginale sinistro dell'arteria circonflessa del cuore;4152"
"Inferior left ventricular branch of circumf. artery of heart;Ramus inf. ventriculi sinistri arteriae circumflexae cordis;Branche vent. inf. gauche de l'artère circonf. du coeur;Rama ventricular izquierda inf. de la a. cardiaca circunfleja;Ramo ventricular esquerdo inf. da art. circunflexa do coração;Ramo ventricolare sinistro inferiore;4153"
"(Sinu-atrial nodal branch of circumflex artery of heart);(Ramus nodi sinuatrialis arteriae circumflexae cordis);(Branche du noeud sinu-atrial de l'art. circonf. g. du coeur);(Rama del nodo sinoatrial de la a. circunfleja del corazón);(Ramo nodal sinu-atrial da artéria circunflexa do coração);(Ramo nodale seno-atriale -arteria circonflessa del cuore);4154"
"(Atrioventricular nodal branch of circumflex artery of heart);(Ramus nodi atrioventricularis arteriae circumflexae cordis);(Branche du noeud atriovent. de l'artère circonf. du coeur);(Rama del nodo atrioventricular-a. circunf. del corazón);(Ramo nodal atrioventricular -artéria circunflexa do coração);(Ramo nodale atrioventricolare);4155"
"(Inf. intervent. branch of circumf. art. of heart);(Ramus intervent. inf. arteriae circumflexae cordis);(Branche intervent. inf. de l'artère circonflexe du coeur);(Rama interventricular inferior-art. circunfleja del corazón);(Ramo interventricular inf. -artéria circunflexa do coração);(Ramo interventricolare inferiore);4156"
"Cardiac veins;Venae cardiacae;Veines cardiaques;Venas cardiacas;Veias cardíacas;Vene cardiache;4157"
"Coronary sinus;Sinus coronarius;Sinus coronaire;Seno coronario;Seio coronário;Seno coronario;4158"
"Great cardiac vein;Vena magna cordis;Grande veine cardiaque;Vena cardíaca mayor;Grande veia cardíaca;Vena cardiaca magna;4159"
"Anterior interventricular vein;Vena interventricularis anterior;Veine interventriculaire antérieure;Vena interventricular anterior;Veia interventricular anterior;Vena interventricolare anteriore;4160"
"Left marginal vein of heart;Vena marginalis sinistra cordis;Veine marginale gauche du coeur;Vena marginal izquierda del corazón;Veia marginal esquerda do coração;Vena marginale sinistra del cuore;4161"
"Inferior vein of left ventricle;Vena inferior ventriculi sinistri;Veine inférieure du ventricule gauche;Vena inferior del ventrículo izquierdo;Veia inferior do ventrículo esquerdo;Vena inferiore del ventricolo sinistro;4162"
"Oblique vein of left atrium;Vena obliqua atrii sinistri;Veine oblique de l'atrium gauche;Vena oblicua del atrio izquierdo;Veia oblíqua do átrio esquerdo;Vena obliqua dell'atrio sinistro;4163"
"Ligament of (left) superior vena cava;Ligamentum venae cavae superioris (sinistrae);Ligament de la veine cave supérieure (gauche);Ligamento de la vena cava superior (izquierda);Ligamento da veia cava superior (esquerda);Legamento della vena cava superiore;4164"
"Middle cardiac vein;Vena media cordis interventricularis inferior;Veine cardiaque moyenne;Vena cardiaca media;Veia cardíaca média;Vena cardiaca media;4165"
"Small cardiac vein;Vena parva cordis;Petite veine cardiaque;Vena cardiaca menor;Veia cardíaca pequena;Vena cardiaca parva;4166"
"Right marginal vein of heart;Vena marginalis dextra cordis;Veine marginale droite du coeur;Vena marginal derecha del corazón;Veia marginal direita do coração;Vena marginale destra;4167"
"Anterior cardiac veins;Venae anteriores cordis;Veines cardiaques antérieures;Venas cardíacas anteriores;Veias cardíacas anteriores;Vene cardiache anteriori;4168"
"Smallest cardiac veins;Venae minimae cordis;Petites veines cardiaques;Venas cardíacas menores;Menores veias cardíacas;Vene cardiache minime;4169"
"Smallest right atrial veins;Venae minimae atriales dextrae;Petites veines atriales droites;Venas atriales menores derechas;Menores veias atriais direitas;Vene minime atriali destre;4170"
"Smallest right ventricular veins;Venae minimae ventriculares dextrae;Petites veines ventricularies droites;Venas ventriculares menores derechas;Menores veias ventriculares direitas;Vene minime ventricolari destre;4171"
"Smallest left atrial veins;(Venae minimae atriales sinistrae);Petites veines atriales gauches;Venas atriales menores izquierdas;Menores veias atriais esquerdas;Vene minime atriali sinistre;4172"
"(Smallest left ventricular veins);(Venae minimae ventriculares sinistrae);(Petites veines ventriculaires gauches);(Venas ventriculares menores izquierdas);(Menores veias ventriculares esquerdas);(Piccole vene ventricolari di sinistra);4173"
"Systemic arteries;Arteriae systematicae;Artères systémiques;Arterias sistémicas;Artérias sistêmicas;Arterie sistemiche;4174"
"Aorta;Aorta;Aorte;Aorta;Aorta;Aorta;4175"
"Ascending aorta;Aorta ascendens;Aorte ascendante;Aorta ascendente;Aorta ascendente;Aorta ascendente;4176"
"Aortic arch;Arcus aortae;Arc aortique;Arco aórtico;Arco aórtico;Arco aortico;4177"
"(Aortic isthmus);(Isthmus aortae);(Isthme aortique);(Istmo aórtico);(Istmo aórtico);(Istmo aortico);4178"
"Brachiocephalic trunk;Truncus brachiocephalicus;Tronc brachiocéphalique;Tronco braquiocefálico;Tronco braquiocefálico;Tronco brachiocefalico;4179"
"Thyroidea ima artery;(Arteria thyreoidea ima);Artère thyroidea ima;Arteria tiroidea ima;Artéria tireoidea ima;Arteria tiroidea ima;4180"
"Right common carotid artery;Carotis communis dextra;Artère carotide commune droite;Arteria carótida común derecha;Artéria carótida comum direita;Arteria carotide comune destra;4181"
"Right subclavian artery;Arteria subclavia dextra;Artère subclavière droite;Arteria subclavia derecha;Artéria subclávia direita;Arteria succlavia destra;4182"
"Left common carotid artery;Carotis communis sinistra;Artère carotide commune gauche;Arteria carótida común izquierda;Artéria carótida comum esquerda;Arteria carotide comune sinistra;4183"
"Left subclavian artery;Arteria subclavia sinistra;Artère subclavière gauche;Arteria subclavia izquierda;Artéria subclávia esquerda;Arteria succlavia sinistra;4184"
"Descending aorta;Aorta descendens;Aorte descendante;Aorta descendente;Aorta descendente;Aorta discendente;4185"
"Thoracic aorta;Aorta thoracica;Aorte thoracique;Aorta torácica;Aorta torácica;Aorta toracica;4186"
"Bronchial branches of aorta;Rami bronchiales aortae;Rameaux bronchiques de l'aorte;Ramas bronquiales de la aorta;Ramos brônquicos da aorta;Rami bronchiali dell'aorta;4187"
"Oesophageal branches of aorta;Rami oesophagei aortae;Branches oesophagiennes de l'aorte;Ramas esofágicas de la aorta;Ramos esofágicos da aorta;Rami esofagei dell'aorta;4188"
"Pericardial branches of aorta;Rami pericardiaci aortae;Branches péricardiques de l'aorte;Ramas pericárdicas de la aorta;Ramos pericárdicos da aorta;Rami pericardici dell'aorta;4189"
"Mediastinal branches of aorta;Rami médiastinales aortae;Branches médiastinales de l'aorte;Ramas mediastínicas de la aorta;Ramos mediastinais da aorta;Rami mediastinici dell'aorta;4190"
"Posterior intercostal arteries;Arteriae intercostales posteriores;Artères intercostales postérieures;Arterias intercostales posteriores;Artérias intercostais posteriores;Arterie intercostali posteriori;4191"
"Posterior intercostal artery;Arteria intercostalis posterior;Artère intercostale postérieure;Arteria intercostal posterior;Artéria intercostal posterior;Arteria intercostale posteriore;4192"
"Dorsal branch of posterior intercostal artery;Ramus dorsalis arteriae intercostalis posterioris;Branche dorsale de l'artère intercostale postérieure;Rama dorsal de la arteria intercostal posterior;Ramo dorsal da artéria intercostal posterior;Ramo dorsale dell'arteria intercostale posteriore;4193"
"Medial dorsal cutaneous branch-posterior intercostal artery;Ramus cut. dorsalis medialis arteriae intercostalis post.;Br. cutanées dorsales médiales de l'artère intercostale post.;Rr. cutáneas dorsales mediales-arteria intercostal posterior;Ramo cutâneo dorsal medial da artéria intercostal posterior;Ramo cutaneo dorsale mediale;4194"
"Lateral dorsal cutaneous branch-posterior intercostal artery;Ramus cut. dorsalis lateralis arteriae intercostalis post.;Branche cutanée dorsale lat.-artère intercostale post.;Rama cutánea dorsal lateral-arteria intercostal posterior;Ramo cutâneo dorsal lateral da artéria intercostal posterior;Ramo cutaneo dorsale laterale;4195"
"Spinal branch of posterior intercostal artery;Ramus spinalis arteriae intercostalis posterioris;Branche spinale de l'artère intercostale postérieure;Rama espinal de la arteria intercostal posterior;Ramo espinhal da artéria intercostal posterior;Ramo spinale dell'arteria intercostale posteriore;4196"
"Collateral branch of posterior intercostal artery;Ramus collateralis arteriae intercostalis posterioris;Branche collatérale de l'artère intercostale postérieure;Rama colateral de la arteria intercostal posterior;Ramo colateral da artéria intercostal posterior;Ramo collaterale dell'arteria intercostale posteriore;4197"
"Lateral cutaneous branch of posterior intercostal artery;Ramus cutaneus lateralis arteriae intercostalis posterioris;Branche cutanée latérale de l'artère intercostale postérieure;Rama cutánea lateral de la arteria intercostal posterior;Ramo cutâneo lateral da artéria intercostal posterior;Ramo cutaneo laterale dell'arteria intercostale posteriore;4198"
"Lateral mammary branches of posterior intercostal artery;Rami mammarii latérales arteriae intercostalis posterioris;Branches mammaires latérales- artère intercostale post.;Ramas mamarias laterales de la arteria intercostal posterior;Ramos mamários laterais da artéria intercostal posterior;Rami mammari laterali dell'arteria intercostale posteriore;4199"
"(Aberrant artery);(Arteria aberrans);(Artère aberrante);(Arteria aberrante);(Artéria aberrante);(Arteria aberrante);4200"
"Superior phrenic arteries;Arteriae phrenicae superiores;Artères phréniques supérieures;Arterias frénicas superiores;Artérias frênicas superiores;Arterie freniche superiori;4201"
"Subcostal artery;Arteria subcostalis;Artère subcostale;Arteria subcostal;Artéria subcostal;Arteria sottocostale;4202"
"Dorsal branch of subcostal artery;Ramus dorsalis arteriae subcostalis;Branche dorsale de l'artère subcostale;Rama dorsal de la arteria subcostal;Ramo dorsal da artéria subcostal;Ramo dorsale dell'arteria sottocostale;4203"
"Spinal branch of subcostal artery;Ramus spinalis arteriae subcostalis;Branche spinale de l'artère subcostale;Rama espinal de la arteria subcostal;Ramo espinhal do subcostal;Ramo spinale dell'arteria sottocostale;4204"
"Abdominal aorta;Aorta abdominalis;Aorte abdominale;Aorta abdominal;Aorta abdominal;Aorta addominale;4205"
"Inferior phrenic artery;Arteria phrenica inferior;Artère phrénique inférieure;Arteria frénica inferior;Artéria frênica inferior;Arteria frenica inferiore;4206"
"Superior suprarenal arteries;Arteriae suprarénales superiores;Artères surrénales supérieures;Arterias suprarrenales superiores;Artérias supra-renais superiores;Arterie surrenali superiori;4207"
"Lumbar arteries;Arteriae lumbales;Artères lombaires;Arterias lumbares;Artérias lombares;Arterie lombari;4208"
"Dorsal branch of lumbar arteries;Ramus dorsalis arteriae lumbalis;Branche dorsale des artères lombaires;Rama dorsal de las arterias lumbares;Ramo dorsal das artérias lombares;Ramo dorsale delle arterie lombari;4209"
"Spinal branch of lumbar artery;Ramus spinalis arteriae lumbalis;Branches spinales des artère lombaires;Rama espinal de la arteria lumbar;Ramo espinhal da artéria lombar;Ramo spinale dell'arteria lombare;4210"
"Coeliac trunk;Truncus coeiiacus;Tronc coeliaque;Tronco celiaco;Tronco celíaco;Tronco celiaco;4211"
"Left gastric artery;Arteria gastrica sinistra;Artère gastrique gauche;Arteria gástrica izquierda;Artéria gástrica esquerda;Arteria gastrica sinistra;4212"
"Oesophageal branch of lumbar artery;Rami oesophagei arteriae gastricae sinistrae;Branche oesophagienne de l'artère lombaire;Rama esofágica de la arteria lumbar;Ramo esofágico da artéria lombar;Ramo esofageo dell'arteria lombare;4213"
"Common hepatic artery;Arteria hepatica communis;Artère hépatique commune;Arteria hepática común;Artéria hepática comum;Arteria epatica comune;4214"
"Gastroduodenal artery;Arteria gastroduodenalis;Artère gastroduodénale;Arteria gastroduodenal;Artéria gastroduodenal;Arteria gastroduodenale;4215"
"(Supraduodenal artery);(Arteria supraduodenalis);(Artère supraduodénale);(Arteria supraduodenal);(Artéria supraduodenal);(Arteria sopraduodenale);4216"
"Posterior superior pancreaticoduodenal artery;Arteria pancreaticoduodenalis superior posterior;Artère pancréaticoduodénale postérosupérieure;Arteria pancreaticoduodenal superior posterior;Artéria pancreaticoduodenal posterosuperior;Arteria pancreaticoduodenale superiore posteriore;4217"
"Pancreatic branches of pos. sup. pancreaticoduodenal art.;Rami pancreatici arteriae pancreaticoduodenalis sup. Post.;Branches pancréatiques-art. Pancréaticoduodénale post.-sup.;Rr. pancreáticas de la arteria pancreatoduodenal sup. post.;Ramos pancreáticos da artéria pancreaticoduodenal sup. post.;Rami pancreatici;4218"
"Duodenal branches of post. sup. pancreaticoduodenal art.;Rami duodenales arteriae pancreaticoduodenalis sup. Post.;Branches duodénales-art. pancréaticoduodénale post.-sup.;R. duodenales de la arteria pancreaticoduodenal sup. post.;Ramos duodenais da artéria pancreaticoduodenal sup. post.;Rami duodenali;4219"
"Retroduodenal arteries;Arteriae retroduodenales;Artères rétroduodénales;Arterias retroduodenales;Artérias retroduodenais;Arterie retroduodenali;4220"
"Right gastro-omental artery;Arteria gastroomentalis dextra;Artère gastro-omentale droite;Arteria gastroomental derecha;Artéria gastro-omental direita;Arteria gastroepiploica destra;4221"
"Gastric branches of right gastro-omental artery;Rami gastrici arteriae gastroomentalis dextrae;Branches gastriques de l'artère gastro-omentale droite;Ramas gástricas de la arteria gastroomental derecha;Ramos gástricos da artéria gastro-omental direita;Rami gastrici dell'arteria gastroepiploica destra;4222"
"Omental branches of right gastro-omental artery;Rami omentales arteriae gastroomentalis dextrae;Branches omentales de l'artère gastro-omentale droite;Ramas omentales de la arteria gastroomental derecha;Ramos omentais da artéria gastro-omental direita;Rami epiploici dell'arteria gastroepiploica destra;4223"
"Arterior superior pancreaticoduodenal artery;Arteria pancreaticoduodenalis superior anterior;Artère pancréaticoduodénale antéro-supérieure;Arteria pancreaticoduodenal anterior superior;Artéria pancreaticoduodenal superior arterior;Arteria pancreaticoduodenale superiore anteriore;4224"
"Pancreatic branches of ant. sup. pancreaticoduodenal artery;Rami pancreatici arteriae pancreaticoduodenalis sup. Ant.;Branches pancréatiques de l'artère pancréaticoduodénale sup.;Rr. pancreáticas de la a. pancreatoduodenal anterior superior;Ramos pancreáticos da artéria pancreaticoduodenal sup. Ant.;Rami pancreatici;4225"
"Duodenal branches of ant. sup. pancreaticoduodenal artery;Rami duodenales arteriae pancreaticoduodenalis sup. Ant.;Branches duodénales-artère pancréaticoduodénale ant.-sup.;Rr. duodenales de la art. pancreaticoduodenal ant. superior;Ramos duodenais da artéria pancreaticoduodenal sup. Ant.;Rami duodenali;4226"
"Proper hepatic artery;Arteria hepatica propria;Artère hépatique propre;Arteria hepática propia;Artéria hepática própria;Arteria epatica propria;4227"
"Right gastric artery;Arteria gastrica dextra;Artère gastrique droite;Arteria gástrica derecha;Artéria gástrica direita;Arteria gastrica destra;4228"
"Right hepatic artery;Arteria hepatica dextra;Artère hépatique droite;Arteria hepática derecha;Artéria hepática direita;Arteria epatica destra;4229"
"Cystic artery;Arteria cystica;Artère cystique;Arteria cística;Artéria cística;Arteria cistica;4230"
"Right artery of caudate lobe;Arteria dextra lobi caudati;Artère droite du lobe caudé;Arteria derecha del lóbulo caudado;Artéria direita do lobo caudado;Arteria destra del lobo caudato;4231"
"Anterior segmental artery of liver;Arteria segmenti anterioris hepatis;Artère segmentaire antérieure du foie;Arteria segmentaria anterior del hígado;Artéria segmentar anterior do fígado;Arteria del segmento anteriore;4232"
"Posterior segmental artery of liver;Arteria segmenti posterions hepatis;Artère segmentaire postérieure du foie;Arteria segmentaria posterior del hígado;Artéria segmentar posterior do fígado;Arteria del segmento posteriore;4233"
"Left hepatic artery;Arteria hepatica sinistra;Artère hépatique gauche;Arteria hepática izquierda;Artéria hepática esquerda;Arteria epatica sinistra;4234"
"Left artery of caudate lobe;Arteria sinistra lobi caudati;Artère gauche du lobe caudé;Arteria izquierda del lóbulo caudado;Artéria esquerda do lobo caudado;Arteria sinistra del lobo caudato;4235"
"Medial segmental artery of liver;Arteria segmenti medialis hepatis;Artère segmentaire médiale du foie;Arteria segmentaria medial del hígado;Artéria segmentar medial do fígado;Arteria del segmento mediale;4236"
"Lateral segmental artery of liver;Arteria segmenti lateralis hepatis;Artère segmentaire latérale du foie;Arteria segmentaria lateral del hígado;Artéria segmentar lateral do fígado;Arteria del segmento laterale;4237"
"Intermediate branch of left hepatic artery;Ramus intermedius arteriae hepaticae sinistrae;Branche intermédiaire de l'artère hépatique gauche;Rama intermedia de la arteria hepática izquierda;Ramo intermediário da artéria hepática esquerda;Ramo intermedio dell'arteria epatica sinistra;4238"
"Splenic artery;Arteria splenica;Artère splénique;Arteria esplénica;Arteria lienalis;Arteria lienale;4239"
"Pancreatic branches of splenic artery;Rami pancreatici arteriae splenicae;Branches pancréatiques de l'artère splénique;Ramas pancreáticas del la arteria esplénica;Ramos pancreáticos do baço;Rami pancreatici dell'arteria lienale;4240"
"Dorsal pancreatic artery;Arteria pancreatica dorsalis;Artère pancréatique dorsale;Arteria pancreática dorsal;Artéria pancreática dorsal;Arteria pancreatica dorsale;4241"
"Inferior pancreatic artery;Arteria pancreatica inferior;Artère pancréatique inférieure;Arteria pancreática inferior;Artéria pancreática inferior;Arteria pancreatica inferiore;4242"
"Prepancreatic artery;Arteria prepancreatica;Artère prépancréatique;Arteria prepancreática;Artéria pré-pancreática;Arteria prepancreatica;4243"
"Great pancreatic artery;Arteria pancreatica maqna;Grande artère pancréatique;Arteria pancreática mayor;Grande artéria pancreática;Arteria grande pancreatica;4244"
"Artery of tail of pancreas;Arteria caudae pancreatis;Artère de la queue du pancréas;Arteria de la cola del páncreas;Artéria da cauda do pâncreas;Arteria della coda del pancreas;4245"
"Posterior gastric artery;Arteria gastrica posterior;Artère gastrique postérieure;Arteria gástrica posterior;Artéria gástrica posterior;Arteria gastrica posteriore;4246"
"Splenic branches of splenic artery;Rami splenici arteriae splenicae;Branches spléniques de l'artère splénique;Ramas esplénicas de la arteria esplénica;Ramos esplênicos da artéria esplênica;Rami splenici dell'arteria splenica;4247"
"Left gastro-omental artery;Arteria gastroomentalis sinistra;Artère gastro-omentale gauche;Arteria gastroomental izquierda;Artéria gastro-omental esquerda;Arteria gastroepiploica sinistra;4248"
"Gastric branches of left gastro-omental artery;Rami gastrici arteriae gastroomentalis sinistrae;Branches gastriques de l'artère gastro-omentale gauche;Ramas gástricas de la arteria gastroomental izquierda;Ramos gástricos da artéria gastro-omental esquerda;Rami gastrici dell'arteria gastroepiploica sinistra;4249"
"Omental branches of left gastro-omental artery;Rami omentales arteriae gastroomentalis sinistrae;Branches omentales de l'artère gastro-omentales gauche;Ramas omentales de la arteria gastroomental izquierda;Ramos omentais da artéria gastro-omental esquerda;Rami epiploici dell'arteria gastroepiploica sinistra;4250"
"Short gastric arteries;Arteriae gastricae breves;Artères gastriques courtes;Arterias gástricas cortas;Artérias gástricas curtas;Arterie gastriche brevi;4251"
"Superior mesenteric artery;Arteria mesenteries superior;Artère mésentérique supérieure;Arteria mesentérica superior;Artéria mesentérica superior;Arteria mesenterica superiore;4252"
"Inferior pancreaticoduodenal artery;Arteria pancreaticoduodenalis;Artère pancréaticoduodénale inférieure;Arteria pancreaticoduodenal inferior;Artéria pancreaticoduodenal inferior;Arteria pancreaticoduodenale inferiore;4253"
"Anterior inferior pancreaticoduodenal artery;Arteria pancreaticoduodenalis inferior anterior;Artère pancréaticoduodénale inféro-antérieure;Arteria pancreáticoduodenal inferior anterior;Artéria pancreaticoduoden inferior anterior;Ramo anteriore dell'art. pancreaticoduodenale inf.;4254"
"Posterior inferior pancreaticoduodenal artery;Arteria pancreaticoduodenalis inferior posterior;Artère pancréaticoduodénale inféro-postérieure;Arteria pancreático duodenal inferior posterior;Artéria pancreaticoduoden inferior posterior;Ramo posteriore dell'art.pancreaticoduodenale inf.;4255"
"Jejunal arteries;Arteriae jejunales;Artères jéjunales;Arterias yeyunales;Artérias jejunais;Arterie digiunali;4256"
"Ileal arteries;Arteriae ileales;Artères iléales;Arterias ileales;Artérias ileais;Arterie ileali;4257"
"Ileocolic artery;Arteria ileocolica;Artère iléocolique;Arteria lleocólica;Artéria lleocóica;Arteria ileocolica;4258"
"Anterior caecal artery;Arteria caecalis anterior;Artère caecale antérieure;Arteria cecal anterior;Artéria cecal anterior;Arteria cecale anteriore;4259"
